repo,source_file,package_name,current_version,vulnerability_id,severity,fix_version,message,cwe,cvss_score
DeepSeek-TUI,DeepSeek-TUI-grype.json,quinn-proto,0.11.13,GHSA-6xvm-j4wr-6v98,low,N/A,Quinn affected by unauthenticated remote DoS via panic in QUIC transport parameter parsing,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,bytes,1.11.0,GHSA-434x-w66g-qw3r,low,N/A,bytes has integer overflow in BytesMut::reserve,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,time,0.3.46,GHSA-r6v5-fh4h-64xc,low,N/A,time vulnerable to stack exhaustion Denial of Service attack,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,actions/download-artifact,v4,GHSA-cxww-7g56-2vh6,low,N/A,@actions/download-artifact has an Arbitrary File Write via artifact extraction,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,aws-lc-sys,0.38.0,GHSA-394x-vwmw-crm3,low,N/A,AWS-LC X.509 Name Constraints Bypass via Wildcard/Unicode CN,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,aws-lc-sys,0.38.0,GHSA-9f94-5g5w-gf6r,low,N/A,CRL Distribution Point Scope Check Logic Error in AWS-LC,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,rustls-webpki,0.103.8,GHSA-82j2-j2ch-gfr8,low,N/A,rustls-webpki: Denial of service via panic on malformed CRL BIT STRING,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,rustls-webpki,0.103.8,GHSA-pwjx-qhcg-rvj4,low,N/A,webpki: CRLs not considered authoritative by Distribution Point due to faulty matching logic,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,lru,0.12.5,GHSA-rhfx-m35p-ff5j,low,N/A,`IterMut` violates Stacked Borrows by invalidating internal pointer,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,rand,0.9.2,GHSA-cq8v-f236-94qc,low,N/A,Rand is unsound with a custom logger using rand::rng(),N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,rustls-webpki,0.103.8,GHSA-965h-392x-2mh5,low,N/A,webpki: Name constraints for URI names were incorrectly accepted,N/A,0
DeepSeek-TUI,DeepSeek-TUI-grype.json,rustls-webpki,0.103.8,GHSA-xgp8-3hg3-c2mh,low,N/A,webpki: Name constraints were accepted for certificates asserting a wildcard name,N/A,0
TradingAgents,TradingAgents-grype.json,langchain-community,0.3.25,GHSA-pc6w-59fv-rh23,low,N/A,Langchain Community Vulnerable to XML External Entity (XXE) Attacks,N/A,0
TradingAgents,TradingAgents-grype.json,langgraph-checkpoint,2.0.26,GHSA-wwqv-p2pp-99h5,low,N/A,"LangGraph Checkpoint affected by RCE in ""json"" mode of JsonPlusSerializer",N/A,0
TradingAgents,TradingAgents-grype.json,python-multipart,0.0.18,GHSA-wp53-j4wj-2cfg,low,N/A,Python-Multipart has Arbitrary File Write via Non-Default Configuration,N/A,0
