repo,workflow,risk_type,priority,evidence,recommendation
DeepSeek-TUI,.github/workflows/auto-tag.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
DeepSeek-TUI,.github/workflows/auto-tag.yml,write_permission,P1,El workflow declara contents: write.,Justificar el permiso y limitarlo al job que lo necesita.
DeepSeek-TUI,.github/workflows/auto-tag.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/setup-node@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/setup-node@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
DeepSeek-TUI,.github/workflows/release.yml,write_permission,P1,El workflow declara contents: write.,Justificar el permiso y limitarlo al job que lo necesita.
DeepSeek-TUI,.github/workflows/release.yml,write_permission,P1,El workflow declara packages: write.,Justificar el permiso y limitarlo al job que lo necesita.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: dtolnay/rust-toolchain@stable.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: Swatinem/rust-cache@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: goto-bus-stop/setup-zig@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/upload-artifact@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: docker/setup-qemu-action@v3.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: docker/setup-buildx-action@v3.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: docker/login-action@v3.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: docker/metadata-action@v5.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: docker/build-push-action@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/download-artifact@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
DeepSeek-TUI,.github/workflows/release.yml,unpinned_action,P1,Accion no fijada por SHA: softprops/action-gh-release@v1.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
agency-agents,.github/workflows/lint-agents.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v4.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/ci-all.yml,action_without_ref,P2,Accion sin referencia explicita: ./.github/workflows/ci.yml.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/ci-all.yml,action_without_ref,P2,Accion sin referencia explicita: ./.github/workflows/test-base-action.yml.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/ci-all.yml,action_without_ref,P2,Accion sin referencia explicita: ./.github/workflows/test-custom-executables.yml.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/ci-all.yml,action_without_ref,P2,Accion sin referencia explicita: ./.github/workflows/test-mcp-servers.yml.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/ci-all.yml,action_without_ref,P2,Accion sin referencia explicita: ./.github/workflows/test-settings.yml.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/ci-all.yml,action_without_ref,P2,Accion sin referencia explicita: ./.github/workflows/test-structured-output.yml.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: oven-sh/setup-bun@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: oven-sh/setup-bun@v1.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/ci.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/ci.yml,unpinned_action,P1,Accion no fijada por SHA: oven-sh/setup-bun@v2.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/claude-review.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/claude-review.yml,write_permission,P1,El workflow declara pull-requests: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/claude-review.yml,write_permission,P0,El workflow declara id-token: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/claude-review.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/claude-review.yml,unpinned_action,P1,Accion no fijada por SHA: anthropics/claude-code-action@v1.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/claude.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/claude.yml,write_permission,P1,El workflow declara contents: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/claude.yml,write_permission,P1,El workflow declara pull-requests: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/claude.yml,write_permission,P1,El workflow declara issues: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/claude.yml,write_permission,P0,El workflow declara id-token: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/claude.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/claude.yml,unpinned_action,P1,Accion no fijada por SHA: anthropics/claude-code-action@main.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/issue-triage.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/issue-triage.yml,write_permission,P1,El workflow declara issues: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/issue-triage.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/issue-triage.yml,unpinned_action,P1,Accion no fijada por SHA: anthropics/claude-code-action@main.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/non-write-users-check.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/non-write-users-check.yml,write_permission,P1,El workflow declara pull-requests: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/release.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/release.yml,write_permission,P1,El workflow declara contents: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/release.yml,unpinned_action,P2,Accion no fijada por SHA: actions/checkout@v6.,Reemplazar tag o rama por SHA completo y revisar actualizaciones periodicamente.
claude-code-action,.github/workflows/sync-base-action.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/sync-base-action.yml,write_permission,P1,El workflow declara contents: write.,Justificar el permiso y limitarlo al job que lo necesita.
claude-code-action,.github/workflows/test-base-action.yml,secrets_in_workflow,P1,El workflow referencia secrets.*.,Separar workflows con secretos de validaciones de PR y usar environments protegidos.
claude-code-action,.github/workflows/test-base-action.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
claude-code-action,.github/workflows/test-base-action.yml,action_without_ref,P2,Accion sin referencia explicita: ./base-action.,Fijar la accion por SHA completo.
